Keyword,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current URL,Current URL inside,Updated,Branded,Local,Navigational,Informational,Commercial,Transactional
affordable oral surgeons,"Local pack, People also ask",40,4,3.31,5,0,4,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-12 14:34:34,false,false,false,true,true,false
best cosmetic dentist kansas city,"Local teaser, Discussions and forums, People also ask, Video preview",10,28,2.53,4,0,2,https://cosmeticimplantdentistrykc.com/,,2025-02-20 23:09:30,false,true,false,false,true,true
dental aesthetics near me,"Local teaser, People also ask, Video preview, Thumbnail",40,22,3.96,4,0,5,https://cosmeticimplantdentistrykc.com/,,2025-02-06 19:39:47,false,true,false,false,true,true
aesthetic dentistry and implant center,"Sitelinks, Thumbnail, Video preview",50,10,5.00,4,0,5,https://cosmeticimplantdentistrykc.com/,,2025-02-14 05:47:57,true,true,true,false,true,false
cosmetic dentistry kansas city mo,"Local teaser, People also ask, Thumbnail",20,38,5.00,4,0,3,https://cosmeticimplantdentistrykc.com/,,2025-02-13 18:52:28,false,true,false,false,true,true
dentist in kc,"Local teaser, Thumbnail",200,38,,4,0,12,https://cosmeticimplantdentistrykc.com/,,2025-02-09 13:36:06,false,true,false,false,true,true
cosmetic dentist near me,"Local teaser, People also ask",8600,4,3.16,3,0,28,https://cosmeticimplantdentistrykc.com/,,2025-02-26 07:51:27,false,true,false,false,true,true
healthy enamel,"People also ask, Thumbnail",90,8,,3,0,8,https://cosmeticimplantdentistrykc.com/strong-enamel-is-a-key-to-healthy-teeth/,,2025-02-10 02:44:20,false,false,false,true,false,false
dentist kansas city,"Local teaser, Thumbnail, Video preview",500,36,4.18,3,0,15,https://cosmeticimplantdentistrykc.com/,,2025-02-25 00:10:51,false,true,false,false,true,true
kansas city dental implants and oral surgery,"Local teaser, Sitelinks, People also ask",90,3,1.38,3,0,10,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-22 01:43:04,false,true,false,false,true,true
dentist kc,"Local teaser, Thumbnail",100,39,0.00,3,0,11,https://cosmeticimplantdentistrykc.com/,,2025-02-14 09:01:23,false,true,false,false,true,true
kansas city dentists,"Local teaser, Thumbnail, People also ask, Video preview",150,35,0.00,3,0,12,https://cosmeticimplantdentistrykc.com/,,2025-02-08 13:28:37,false,true,false,false,true,true
best dental cosmetic surgeon,"Local pack, People also ask, Discussions and forums, Video preview",20,11,0.68,3,0,4,https://cosmeticimplantdentistrykc.com/,,2025-02-08 02:15:30,false,false,false,true,true,false
why do i have a crooked smile,"Featured snippet, People also ask, Thumbnail, Discussions and forums",150,1,,3,0,12,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-09 12:09:26,false,false,false,true,false,false
oral surgeon near me wisdom teeth removal,"Local pack, People also ask",20,1,4.43,3,0,4,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-14 13:02:59,false,true,false,false,true,true
kansas city cosmetic dentistry,"Local teaser, Thumbnail, People also ask, Discussions and forums, Video preview",10,35,5.00,2,0,2,https://cosmeticimplantdentistrykc.com/,,2025-02-08 18:56:30,false,true,false,false,true,true
best dentists in kansas city,"Local teaser, Video preview",50,22,2.86,2,0,8,https://cosmeticimplantdentistrykc.com/,,2025-02-18 15:27:23,false,true,false,true,true,false
cosmetic dentistry and implants,"Local teaser, People also ask, Thumbnail",60,50,5.47,2,0,10,https://cosmeticimplantdentistrykc.com/,,2025-02-24 03:21:03,false,false,false,true,true,false
cosmetic and implant dentistry,"People also ask, Knowledge panel, Thumbnail",200,17,4.95,2,0,13,https://cosmeticimplantdentistrykc.com/,,2025-02-15 19:22:17,false,false,false,true,true,false
best dentist in kansas city,"Local teaser, Discussions and forums, People also ask, Video preview",40,24,3.35,2,0,8,https://cosmeticimplantdentistrykc.com/,,2025-02-11 20:17:47,false,true,false,true,true,false
dental implants kansas city ks,"Local teaser, People also ask, Thumbnail",30,8,,2,0,7,https://cosmeticimplantdentistrykc.com/,,2025-02-26 01:47:57,false,true,false,true,true,false
why does it hurt to brush my teeth,"Featured snippet, People also ask",90,0,,2,0,11,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-09 00:53:37,false,false,false,true,false,false
strong enamel,"Featured snippet, People also ask, Thumbnail, Discussions and forums",40,2,3.70,2,0,7,https://cosmeticimplantdentistrykc.com/strong-enamel-is-a-key-to-healthy-teeth/,,2025-02-07 23:33:14,false,false,false,true,false,false
patrick lucaci,"Thumbnail, Local pack, Video preview",30,0,,2,0,7,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-24 08:12:17,false,false,false,true,false,false
david jackson dentist,Local pack,10,0,3.52,2,0,3,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-13 08:12:37,false,false,false,true,true,false
popcorn kernel stuck in roof of mouth,"AI overview, People also ask, Discussions and forums, Thumbnail, Video preview",40,1,,2,0,1,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,AI overview,2025-02-08 03:15:19,false,false,false,true,false,false
dentist kansas city mo,"Local teaser, Thumbnail, Video preview",100,20,4.07,2,0,13,https://cosmeticimplantdentistrykc.com/,,2025-02-25 12:13:22,false,true,false,false,true,true
cosmetic dental clinic,"Local teaser, People also ask, Thumbnail",250,26,2.71,2,0,18,https://cosmeticimplantdentistrykc.com/,,2025-02-21 11:27:19,false,false,true,false,true,false
dentists kansas city,"Local pack, Thumbnail, People also ask, Video preview",100,39,4.93,1,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-14 15:50:15,false,true,false,false,true,true
wisdom teeth dentist near me,"Local pack, People also ask",100,6,4.64,1,0,14,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-22 00:01:39,false,true,false,false,true,true
cosmetic implant dentistry near me,"Local teaser, People also ask, Thumbnail",10,22,5.00,1,0,3,https://cosmeticimplantdentistrykc.com/,,2025-02-19 14:18:24,false,true,false,false,true,true
kansas city dental insurance,People also ask,70,6,1.44,1,0,11,https://cosmeticimplantdentistrykc.com/patients/insurance-financing/,,2025-02-21 14:25:12,false,true,false,true,true,false
cosmetic and implant dentistry of kansas city,"Sitelinks, People also ask, Video preview",0,4,1.63,1,0,1,https://cosmeticimplantdentistrykc.com/,,2025-02-27 13:35:28,true,true,true,false,false,false
cosmetic and dental,"Local teaser, People also ask",90,78,4.03,1,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-17 19:53:04,false,false,false,true,true,false
it hurts to brush my teeth,"AI overview, Thumbnail, People also ask, Discussions and forums, Video preview",20,1,,1,0,7,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-23 09:27:43,false,false,false,true,false,false
pain when brushing teeth,"Featured snippet, People also ask, Discussions and forums, Thumbnail",60,12,2.25,1,0,10,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-26 10:51:58,false,false,false,true,false,false
dr lucaci,"Local pack, Video preview",20,1,,1,0,8,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-23 19:52:47,false,false,false,true,false,false
dental insurance kansas city,People also ask,80,11,3.19,1,0,12,https://cosmeticimplantdentistrykc.com/patients/insurance-financing/,,2025-02-06 22:00:12,false,true,false,true,true,false
braces kansas city,"Local pack, People also ask, Video preview",60,9,3.91,1,0,12,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/braces/,,2025-02-19 02:58:57,false,true,false,true,true,true
tori in mouth,"Featured snippet, People also ask",1000,5,0.08,1,0,23,https://cosmeticimplantdentistrykc.com/do-i-have-mouth-tori/,,2025-02-25 11:08:08,false,false,false,true,false,false
wisdom teeth removal kansas city,"Local pack, People also ask, Discussions and forums, Thumbnail, Video preview",30,0,7.42,1,0,9,https://cosmeticimplantdentistrykc.com/services/oral-surgery/wisdom-teeth-extraction/,,2025-02-25 02:47:32,false,true,false,false,true,true
dentist that remove wisdom teeth near me,"Local pack, People also ask",20,3,3.61,1,0,8,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-13 16:39:27,false,true,false,false,true,true
wisdom teeth specialist near me,"Local pack, People also ask",30,24,3.23,1,0,9,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-08 13:33:45,false,true,false,false,true,true
dentists in kansas city,"Local teaser, People also ask, Thumbnail, Video preview",150,40,3.23,1,0,17,https://cosmeticimplantdentistrykc.com/,,2025-02-09 02:00:53,false,true,false,false,true,true
unflossed teeth,"People also ask, Video preview, Thumbnail",60,1,,1,0,12,https://cosmeticimplantdentistrykc.com/save-money-at-the-dentist-floss/,,2025-02-10 20:45:16,false,false,false,true,false,false
teeth whitening kansas city,"Local teaser, People also ask, Thumbnail, Video preview",90,0,1.55,1,0,15,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/teeth-whitening/,,2025-02-21 07:12:07,false,true,false,true,true,true
same day dentures kansas city,"People also ask, Knowledge panel",30,0,4.32,1,0,9,https://cosmeticimplantdentistrykc.com/services/prosthetics/dentures/,,2025-02-07 17:10:14,false,true,false,false,true,true
top 10 best dentists in kansas city missouri,"Local teaser, People also ask",150,0,,1,0,16,https://cosmeticimplantdentistrykc.com/,,2025-02-22 07:58:34,false,true,false,true,true,false
dentistry cosmetic near me,"Local teaser, People also ask",450,3,3.17,1,0,22,https://cosmeticimplantdentistrykc.com/,,2025-02-23 08:48:19,false,true,false,false,true,true
how to get a popcorn kernel out of your gums,"AI overview, People also ask, Thumbnail, Discussions and forums, Video preview",250,1,,1,0,17,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-12 21:28:56,false,false,false,true,false,false
popcorn kernel stuck in gum,"AI overview, People also ask, Video preview, Thumbnail",1100,1,0.05,1,0,26,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-25 16:09:34,false,false,false,true,false,false
implant and general dentistry,"People also ask, Thumbnail, Local teaser, Video preview",80,32,3.34,1,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-08 23:36:32,false,false,true,false,true,false
discount oral surgery,"Thumbnail, People also ask, Image pack",30,22,3.20,1,0,9,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-09 02:44:42,false,false,false,true,true,false
veneers kansas city mo,"Local teaser, People also ask, Thumbnail, Video preview",20,0,2.17,1,0,7,https://cosmeticimplantdentistrykc.com/,,2025-02-10 20:14:45,false,true,false,true,true,false
cosmetic dental implant,"Local teaser, People also ask, Thumbnail",50,22,3.99,1,0,13,https://cosmeticimplantdentistrykc.com/,,2025-02-27 10:39:38,false,false,false,true,true,false
wisdom teeth surgery near me,"Local pack, People also ask, Thumbnail",90,0,4.75,1,0,15,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-26 16:55:11,false,true,false,false,true,true
flossed vs unflossed teeth,"AI overview, Thumbnail, Featured snippet, People also ask, Discussions and forums, Video preview",50,1,,1,0,12,https://cosmeticimplantdentistrykc.com/save-money-at-the-dentist-floss/,,2025-02-17 00:16:03,false,false,false,true,false,false
oral surgery and dental implants near me,"Local pack, People also ask, Thumbnail",30,0,4.78,1,0,10,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-17 20:03:18,false,true,false,false,true,true
dentist in kansas city mo,"Local teaser, People also ask, Thumbnail, Video preview",40,39,7.26,1,0,12,https://cosmeticimplantdentistrykc.com/,,2025-02-21 01:19:45,false,true,false,false,true,true
kc smiles,"Local teaser, People also ask, Video preview",40,19,,1,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-24 06:27:10,true,true,true,false,true,false
cosmetic dental financing,"People also ask, Discussions and forums, Video preview",80,5,2.93,1,0,14,https://cosmeticimplantdentistrykc.com/patients/insurance-financing/,,2025-02-21 23:02:48,false,false,false,true,true,true
lopsided smiles,"Thumbnail, People also ask",20,0,,1,0,8,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-13 23:29:42,false,false,false,true,false,false
can an overbite cause headaches,"AI overview, Thumbnail, Featured snippet, People also ask, Discussions and forums, Video preview",30,1,,1,0,10,https://cosmeticimplantdentistrykc.com/malocclusion-can-cause-headaches/,,2025-02-21 06:47:14,false,false,false,true,false,false
affordable oral surgeon near me,"People also ask, Knowledge panel",150,12,4.13,1,0,17,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-20 09:12:20,false,true,false,false,true,true
will a popcorn kernel come out of gum,"AI overview, Thumbnail, People also ask, Video preview",50,1,,1,0,13,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-15 15:12:41,false,false,false,true,false,false
why do i smile crooked,"AI overview, Thumbnail, People also ask, Discussions and forums, Video preview",20,0,,1,0,9,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-22 04:38:05,false,false,false,true,false,false
dental implants cosmetic,"Local teaser, People also ask, Shopping, Thumbnail, Discussions and forums",70,12,5.47,1,0,15,https://cosmeticimplantdentistrykc.com/,,2025-02-24 21:28:18,false,false,false,true,true,false
popcorn stuck in gums,"AI overview, Featured snippet, Thumbnail, People also ask, Discussions and forums, Video preview",500,0,0.07,1,0,22,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-24 19:28:57,false,false,false,true,false,false
fuzzy teeth meaning,"Featured snippet, People also ask, Thumbnail, Video preview",10,0,,1,0,6,https://cosmeticimplantdentistrykc.com/whats-that-fuzzy-teeth-feeling/,,2025-02-25 15:42:56,false,false,false,true,false,false
why do i have a lopsided smile,"Featured snippet, People also ask, Thumbnail, Video preview",20,0,,1,0,9,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-23 08:25:23,false,false,false,true,false,false
popcorn kernels stuck in gums,"Featured snippet, People also ask, Discussions and forums, Thumbnail, Video preview",70,0,,1,0,14,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-14 12:29:08,false,false,false,true,false,false
dr jackson dentist,"Local pack, Video preview",350,26,2.54,1,0,18,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-06 13:23:32,false,false,true,false,true,true
popcorn stuck in roof of mouth,People also ask,10,1,,1,0,7,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-13 04:26:23,false,false,false,true,false,false
smile is crooked,"AI overview, Thumbnail, People also ask, Discussions and forums, Video preview",40,0,,1,0,13,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-25 07:34:02,false,false,false,true,false,false
crooked smile causes,"Thumbnail, People also ask, Discussions and forums",40,3,,1,0,11,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-20 09:03:52,false,false,false,true,false,false
why does it hurt when i brush my teeth,"Featured snippet, People also ask, Discussions and forums",90,4,,1,0,16,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-13 08:27:38,false,false,false,true,false,false
oral surgeon wisdom teeth removal near me,"Local pack, People also ask",30,0,2.98,1,0,12,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-17 21:10:56,false,true,false,false,true,true
wisdom tooth surgery near me,"Local pack, People also ask, Thumbnail",50,0,4.75,1,0,14,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-27 00:06:22,false,true,false,false,true,true
teeth jewels near me,"Local teaser, People also ask, Video preview",70,5,1.01,1,0,16,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/twinkles/,,2025-02-17 18:14:47,false,true,false,false,true,true
brushing teeth hurts,"Featured snippet, Discussions and forums, People also ask, Thumbnail",20,12,,1,0,10,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-26 00:44:03,false,false,false,true,false,false
how to get popcorn kernel out of teeth,"AI overview, Thumbnail, People also ask, Video preview",100,1,,1,0,18,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-23 11:26:20,false,false,false,true,false,false
hurts to brush teeth,"AI overview, Thumbnail, People also ask, Discussions and forums, Video preview",50,12,,1,0,15,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-09 00:30:27,false,false,false,true,false,false
what causes a crooked smile,"AI overview, Thumbnail, People also ask, Discussions and forums, Video preview",100,5,0.01,1,0,18,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-22 04:39:58,false,false,false,true,false,false
teeth diamonds near me,"Local teaser, People also ask, Thumbnail, Video preview, Image pack",20,0,1.17,1,0,10,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/twinkles/,,2025-02-07 23:41:25,false,true,false,false,true,true
teeth hurt when brushing,"Featured snippet, Thumbnail, People also ask, Discussions and forums",80,64,1.63,1,0,16,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-26 11:30:50,false,false,false,true,false,false
twinkles tooth gems,"Sitelinks, People also ask, Knowledge panel, Video preview",30,0,0.80,1,0,12,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/twinkles/,,2025-02-08 01:37:27,true,false,false,true,true,true
it hurts when i brush my teeth,"People also ask, Discussions and forums, Thumbnail, Video preview",10,1,,1,0,9,https://cosmeticimplantdentistrykc.com/should-it-hurt-to-brush-my-teeth/,,2025-02-20 08:44:15,false,false,false,true,false,false
top 10 best kansas city missouri dentists,"Featured snippet, Local teaser, People also ask",100,0,,0,0,19,https://cosmeticimplantdentistrykc.com/,,2025-02-09 04:52:26,false,true,false,true,true,false
jackson dds,Local teaser,100,20,,0,0,18,https://cosmeticimplantdentistrykc.com/about-us/,,2025-02-26 00:49:13,false,false,false,true,true,false
cosmetic & implant dentistry center,"Local teaser, Sitelinks, People also ask, Video preview",20,24,,0,0,10,https://cosmeticimplantdentistrykc.com/,,2025-02-21 23:12:51,true,true,true,false,true,false
porcelain veneers kansas city,"Local teaser, People also ask, Video preview",10,0,2.17,0,0,10,https://cosmeticimplantdentistrykc.com/,,2025-02-13 23:26:31,false,true,false,true,true,false
kc dentist,"Local teaser, People also ask, Thumbnail",10,41,2.75,0,0,7,https://cosmeticimplantdentistrykc.com/,,2025-02-24 17:27:21,false,true,false,false,true,true
dentist with dentures,"Local pack, People also ask, Videos",10,1,,0,0,10,https://cosmeticimplantdentistrykc.com/services/prosthetics/dentures/,,2025-02-14 07:58:29,false,false,false,false,true,true
how to get a popcorn kernel out of your teeth,"Featured snippet, People also ask, Thumbnail, Video preview",70,1,,0,0,16,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-10 16:13:54,false,false,false,true,false,false
wisdom tooth surgeon,"Local pack, People also ask, Thumbnail",50,31,3.16,0,0,16,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-23 05:16:04,false,false,false,true,true,false
popcorn kernel stuck in teeth,"People also ask, Thumbnail, Video preview",80,1,,0,0,17,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-27 10:50:38,false,false,false,true,false,false
can popcorn kernels get stuck in your gums,"AI overview, Thumbnail, People also ask, Video preview",50,0,,0,0,16,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-22 14:32:43,false,false,false,true,false,false
popcorn hull stuck in gum,"Featured snippet, People also ask, Video preview, Thumbnail",150,0,,0,0,20,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-11 09:19:04,false,false,false,true,false,false
mandibular tori on one side,"People also ask, Thumbnail, Video preview",150,1,,0,0,21,https://cosmeticimplantdentistrykc.com/do-i-have-mouth-tori/,,2025-02-15 13:23:33,false,false,false,true,false,false
twinkles dental,"Sitelinks, People also ask, Shopping, Thumbnail, Video preview",30,0,3.36,0,0,12,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/twinkles/,,2025-02-18 17:49:49,true,false,true,true,true,false
mouth tori,"AI overview, People also ask, Thumbnail",450,4,0.08,0,0,25,https://cosmeticimplantdentistrykc.com/do-i-have-mouth-tori/,,2025-02-26 11:33:20,false,false,false,true,false,false
kc dental implants and oral surgery,"Local teaser, Sitelinks, Thumbnail, Video preview",250,7,1.70,0,0,23,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-11 00:28:33,false,true,true,false,true,true
tori mouth,"People also ask, Thumbnail",1300,10,1.36,0,0,27,https://cosmeticimplantdentistrykc.com/do-i-have-mouth-tori/,,2025-02-24 07:56:40,false,false,false,true,false,false
dental kansas city,"Local pack, Thumbnail, People also ask",50,37,,0,0,16,https://cosmeticimplantdentistrykc.com/,,2025-02-10 21:05:07,false,true,false,false,true,true
misaligned smile,"Featured snippet, People also ask, Thumbnail, Discussions and forums",30,0,,0,0,14,https://cosmeticimplantdentistrykc.com/the-facts-about-crooked-smiles/,,2025-02-25 10:53:43,false,false,false,true,false,false
how to get popcorn kernel out of tooth,"Featured snippet, People also ask, Discussions and forums, Thumbnail, Video preview",50,1,,0,0,16,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-16 09:17:56,false,false,false,true,false,false
cosmetic dentistry insurance,"People also ask, Discussions and forums",50,2,2.01,0,0,15,https://cosmeticimplantdentistrykc.com/patients/insurance-financing/,,2025-02-15 20:22:21,false,false,false,true,true,false
2101 charlotte st kansas city,Video preview,60,1,,0,0,16,https://cosmeticimplantdentistrykc.com/,,2025-02-23 10:59:36,false,true,true,false,false,false
2101 charlotte st kansas city mo 64108,,30,0,,0,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-08 05:23:37,false,true,false,true,false,false
how to get kernel out of teeth,"AI overview, Thumbnail, People also ask, Video preview",40,1,,0,0,16,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-20 13:04:56,false,false,false,true,false,false
why do popcorn kernels get stuck in my gums,"AI overview, People also ask, Thumbnail, Video preview",50,1,,0,0,17,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-06 11:49:04,false,false,false,true,false,false
oral surgery downtown,"Local pack, People also ask, Thumbnail",30,26,,0,0,14,https://cosmeticimplantdentistrykc.com/services/oral-surgery/,,2025-02-18 00:55:09,false,true,false,false,true,true
cosmetic teeth surgery,"People also ask, Local teaser, Discussions and forums",40,68,1.91,0,0,16,https://cosmeticimplantdentistrykc.com/,,2025-02-11 09:00:37,false,false,false,true,true,false
aesthetic implant dentistry,"Local teaser, People also ask",50,33,4.15,0,0,18,https://cosmeticimplantdentistrykc.com/,,2025-02-10 18:22:24,false,false,false,true,true,false
cosmetic dentistry bonding near me,"Local teaser, People also ask",10,0,,0,0,9,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/bonding-contouring/,,2025-02-16 20:26:19,false,true,false,false,true,true
how to get popcorn kernel out of gums,"AI overview, Featured snippet, People also ask, Discussions and forums, Video preview, Thumbnail",900,1,0.06,0,0,30,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-24 00:37:46,false,false,false,true,false,false
cosmetic dent,"Local teaser, People also ask",20,68,,0,0,14,https://cosmeticimplantdentistrykc.com/,,2025-02-18 21:07:13,false,false,false,true,true,false
top rated cosmetic dentistry near me,"Local teaser, People also ask, Video preview",50,5,,0,0,17,https://cosmeticimplantdentistrykc.com/,,2025-02-24 15:09:52,false,true,false,false,true,true
prosthodontist kansas city,People also ask,60,2,2.20,0,0,17,https://cosmeticimplantdentistrykc.com/services/prosthetics/,,2025-02-20 16:43:29,false,true,true,false,true,true
tooth gem near me,"Local teaser, People also ask, Video preview",600,0,1.24,0,0,29,https://cosmeticimplantdentistrykc.com/services/cosmetic-dentistry/twinkles/,,2025-02-26 10:26:31,false,true,false,false,true,true
popcorn kernel stuck in gums,"AI overview, People also ask, Discussions and forums, Thumbnail, Video preview",100,1,0.05,0,0,20,https://cosmeticimplantdentistrykc.com/chew-that-popcorn-carefully/,,2025-02-14 07:43:24,false,false,false,true,false,false
2101 charlotte kansas city mo,Video preview,20,1,,0,0,13,https://cosmeticimplantdentistrykc.com/contact-us/,,2025-02-15 12:54:14,false,true,true,false,false,false
